               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11489,            0.026028,            0.048849,          0.00090045,             0.23835,           0.0074603,           0.0021309,            0.097047,            0.020812,            0.043726,              0.0021,              0.0021,              0.0811
                   1,            0.090069,            0.018778,            0.040758,           0.0016781,             0.53047,            0.041546,           0.0089292,            0.084057,            0.015665,            0.036059,           0.0041581,           0.0041581,            0.061158
                   2,              0.0769,            0.015224,            0.034029,             0.80061,            0.075207,             0.17498,            0.064668,            0.078648,            0.014372,            0.026123,            0.006071,            0.006071,            0.041071
                   3,            0.071078,            0.014324,            0.025863,             0.49688,             0.20233,             0.22576,            0.052541,             0.07921,            0.012815,            0.020963,           0.0078387,           0.0078387,            0.020839
                   4,            0.074431,            0.011242,            0.021053,             0.26709,             0.15096,              0.1966,             0.04365,            0.081637,            0.011019,            0.019705,             0.00868,             0.00868,             0.00868
                   5,            0.070907,            0.011301,            0.018576,             0.59604,             0.37386,             0.38397,             0.15289,            0.066502,            0.013401,            0.016729,             0.00868,             0.00868,             0.00868
                   6,            0.066054,             0.01133,            0.016727,             0.35778,              0.3551,             0.29186,            0.085452,            0.065429,            0.012503,            0.019066,             0.00835,             0.00835,             0.00835
                   7,            0.060754,            0.010616,            0.013392,             0.54932,             0.40877,             0.46271,             0.13857,            0.059506,            0.010343,            0.010541,             0.00802,             0.00802,             0.00802
                   8,            0.060689,            0.009663,            0.010757,             0.53342,             0.29812,             0.31854,             0.11236,            0.072112,            0.011408,            0.017799,             0.00769,             0.00769,             0.00769
                   9,            0.056336,           0.0089678,           0.0098252,             0.52231,             0.53085,             0.52039,              0.1606,            0.059295,           0.0095078,            0.011813,             0.00736,             0.00736,             0.00736
                  10,             0.05669,           0.0084954,            0.007264,             0.73502,             0.52352,             0.59015,              0.2095,            0.051564,           0.0093234,            0.011197,             0.00703,             0.00703,             0.00703
                  11,            0.053509,           0.0079703,           0.0080122,             0.72672,             0.60059,             0.65893,             0.26098,            0.047428,           0.0086242,           0.0084977,              0.0067,              0.0067,              0.0067
                  12,            0.049644,           0.0075139,           0.0057508,             0.59682,             0.62883,             0.65332,             0.27396,            0.046595,           0.0082807,           0.0070754,             0.00637,             0.00637,             0.00637
                  13,            0.047356,           0.0072445,           0.0045108,             0.79531,             0.63114,             0.70929,             0.26005,            0.046143,           0.0076775,           0.0039751,             0.00604,             0.00604,             0.00604
                  14,            0.049076,           0.0066776,            0.004569,             0.78096,             0.58171,              0.6657,             0.27114,            0.046786,           0.0085896,           0.0063007,             0.00571,             0.00571,             0.00571
                  15,            0.044564,           0.0068924,           0.0044106,             0.71609,             0.77299,               0.795,             0.31601,            0.043131,           0.0075851,           0.0038985,             0.00538,             0.00538,             0.00538
                  16,            0.045187,           0.0064503,           0.0040924,             0.74236,             0.64576,             0.68213,              0.2561,            0.045922,           0.0073435,           0.0065422,             0.00505,             0.00505,             0.00505
                  17,            0.043502,           0.0064699,           0.0047294,             0.86362,             0.79788,             0.83801,             0.33722,            0.043146,           0.0073517,           0.0027408,             0.00472,             0.00472,             0.00472
                  18,            0.041354,            0.006054,            0.003192,             0.87039,             0.86467,             0.90643,             0.39886,            0.040742,           0.0067074,           0.0025115,             0.00439,             0.00439,             0.00439
                  19,            0.041567,           0.0058949,           0.0026462,             0.86519,             0.82539,             0.89114,              0.3948,            0.039498,           0.0069921,           0.0049815,             0.00406,             0.00406,             0.00406
                  20,            0.041375,           0.0064945,            0.002961,             0.87687,             0.80209,             0.88116,             0.36262,            0.042498,           0.0072963,           0.0045943,             0.00373,             0.00373,             0.00373
                  21,            0.038562,           0.0055791,           0.0027911,             0.90947,              0.9326,             0.93782,             0.39294,            0.039981,           0.0065775,           0.0025034,              0.0034,              0.0034,              0.0034
                  22,            0.038563,           0.0056888,           0.0025801,             0.87674,             0.89586,             0.93487,             0.41132,            0.038948,           0.0064566,           0.0025682,             0.00307,             0.00307,             0.00307
                  23,            0.037695,           0.0056078,           0.0019791,             0.95101,             0.88076,             0.94418,             0.41355,            0.039297,           0.0063953,           0.0020093,             0.00274,             0.00274,             0.00274
                  24,            0.037344,           0.0060655,           0.0022673,              0.9174,             0.91596,             0.94745,             0.40401,            0.037975,           0.0064805,           0.0017018,             0.00241,             0.00241,             0.00241
                  25,             0.03588,           0.0059209,           0.0019155,             0.88874,              0.9007,             0.93205,             0.41547,            0.038162,           0.0063828,            0.001646,             0.00208,             0.00208,             0.00208
                  26,            0.035695,           0.0053405,           0.0018335,             0.92102,             0.96024,             0.95206,             0.42201,            0.037715,           0.0063404,           0.0015894,             0.00175,             0.00175,             0.00175
                  27,            0.034465,           0.0058537,           0.0016975,             0.92881,             0.93208,             0.95005,             0.41811,            0.036177,           0.0062642,           0.0015397,             0.00142,             0.00142,             0.00142
                  28,            0.034197,           0.0059521,           0.0020288,             0.94769,             0.94676,             0.95648,             0.45253,            0.035834,           0.0062097,           0.0014948,             0.00109,             0.00109,             0.00109
                  29,            0.034331,           0.0053777,           0.0017586,             0.95247,             0.94856,             0.95505,             0.45265,            0.035971,           0.0061907,           0.0014199,             0.00076,             0.00076,             0.00076
