               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046085,            0.062627,            0.018974,             0.73462,             0.62743,             0.71498,             0.46598,            0.041159,            0.036997,           0.0095008,              0.0007,              0.0007,              0.0937
                   1,             0.04465,            0.069033,            0.017211,             0.73933,              0.6524,             0.74403,             0.47928,            0.040532,            0.036852,           0.0085998,            0.001005,            0.001005,            0.086005
                   2,            0.044891,            0.064442,            0.016338,              0.7796,             0.65625,             0.75753,             0.49378,            0.040273,             0.03638,           0.0082075,            0.000782,            0.000782,            0.077782
