               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10079,           0.0068329,            0.034546,          0.00018032,            0.058843,          0.00013587,          3.8158e-05,             0.10287,           0.0071064,            0.035535,           0.0033268,           0.0033268,            0.070059
                   1,            0.091865,           0.0084614,              0.0303,          0.00081344,             0.25703,           0.0015439,          0.00031576,            0.091409,           0.0085601,             0.03242,           0.0044623,           0.0044623,            0.037861
                   2,            0.080134,           0.0091494,             0.02675,             0.53285,            0.053571,            0.037924,           0.0076422,            0.083179,           0.0093174,            0.030966,           0.0033978,           0.0033978,           0.0034634
