               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083002,            0.022382,            0.046106,              0.5994,             0.11989,             0.22276,            0.056463,            0.067867,            0.014121,             0.03671,           0.0032946,           0.0032946,            0.070349
                   1,            0.059866,             0.01376,            0.031419,             0.34056,             0.56539,             0.49616,             0.12704,            0.058004,           0.0087811,            0.019584,           0.0065623,           0.0065623,            0.040283
                   2,            0.060311,            0.009646,            0.018572,             0.48543,              0.6731,             0.60406,             0.18273,            0.051624,            0.007694,            0.011142,            0.009764,            0.009764,            0.010152
                   3,            0.054561,             0.00803,            0.014988,             0.65763,             0.70882,             0.72096,             0.24505,            0.045573,            0.010316,            0.010897,            0.009703,            0.009703,            0.009703
                   4,            0.049073,           0.0072824,            0.012017,             0.75651,             0.80507,             0.85193,             0.34927,            0.044952,           0.0069088,           0.0070431,            0.009703,            0.009703,            0.009703
                   5,            0.044147,           0.0068842,           0.0082807,             0.90739,             0.92769,             0.95426,             0.45619,            0.038424,           0.0061842,           0.0038118,            0.009604,            0.009604,            0.009604
                   6,            0.042669,           0.0066182,           0.0063431,             0.94136,             0.93688,             0.97147,              0.4618,             0.03657,           0.0059622,           0.0032838,            0.009505,            0.009505,            0.009505
                   7,            0.041194,           0.0065108,           0.0060568,             0.91777,             0.94679,             0.97372,             0.49281,            0.035373,           0.0055918,           0.0033633,            0.009406,            0.009406,            0.009406
                   8,            0.039415,           0.0062125,           0.0051664,             0.95838,             0.95788,             0.97759,             0.51148,            0.034573,           0.0056914,           0.0024006,            0.009307,            0.009307,            0.009307
                   9,            0.038934,           0.0059827,           0.0042128,              0.9434,             0.93819,             0.97545,             0.46198,            0.033955,           0.0055471,           0.0028486,            0.009208,            0.009208,            0.009208
                  10,            0.038386,           0.0059377,            0.004419,              0.9625,             0.95724,             0.98115,             0.48651,            0.033705,           0.0052977,           0.0015853,            0.009109,            0.009109,            0.009109
                  11,            0.036904,           0.0059408,           0.0035041,              0.9782,             0.98431,             0.99437,             0.50305,            0.032334,            0.005251,           0.0023098,             0.00901,             0.00901,             0.00901
                  12,            0.036234,           0.0060014,           0.0041274,             0.97414,             0.96318,             0.98401,             0.53137,            0.032601,           0.0053881,           0.0015381,            0.008911,            0.008911,            0.008911
                  13,             0.03544,           0.0058143,           0.0036033,             0.98028,             0.97078,             0.98312,             0.52476,            0.032497,           0.0051306,           0.0015744,            0.008812,            0.008812,            0.008812
                  14,            0.034964,           0.0057401,           0.0027221,             0.97745,              0.9986,             0.99213,             0.53909,            0.032046,           0.0051762,           0.0013092,            0.008713,            0.008713,            0.008713
