               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082726,            0.022391,            0.046664,            0.010378,             0.91756,             0.24693,            0.063673,            0.064029,            0.014084,            0.040434,           0.0032946,           0.0032946,            0.070349
                   1,            0.059549,            0.013846,            0.033974,             0.58428,             0.51957,             0.48462,             0.14493,            0.053356,            0.009544,            0.023733,           0.0065951,           0.0065951,            0.040316
                   2,             0.05928,            0.009736,            0.020461,              0.4755,             0.58006,             0.50873,             0.18604,            0.052375,           0.0082508,            0.014675,           0.0098626,           0.0098626,             0.01025
                   3,            0.054483,           0.0080206,            0.014926,             0.82268,             0.59351,             0.70856,             0.28776,            0.043964,           0.0079975,            0.014005,           0.0098515,           0.0098515,           0.0098515
                   4,            0.048034,           0.0076481,            0.018655,             0.30504,             0.35169,             0.34739,             0.11212,            0.053579,            0.010079,            0.039817,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045969,           0.0075066,            0.014702,             0.65911,             0.55322,             0.62127,             0.26069,            0.046831,           0.0088525,            0.014531,            0.009802,            0.009802,            0.009802
                   6,             0.04386,           0.0071973,            0.011492,             0.74395,             0.70857,             0.76511,             0.36154,            0.038795,           0.0082669,            0.019987,           0.0097525,           0.0097525,           0.0097525
                   7,            0.043042,           0.0070709,           0.0087644,             0.82999,             0.88611,               0.913,             0.45034,             0.03726,           0.0061666,           0.0046967,            0.009703,            0.009703,            0.009703
                   8,            0.040884,             0.00663,           0.0068141,              0.8677,             0.91481,             0.93719,             0.47974,            0.035494,           0.0059756,           0.0049088,           0.0096535,           0.0096535,           0.0096535
                   9,            0.040016,            0.006295,           0.0062362,             0.91329,             0.92401,             0.95514,             0.45458,             0.03554,           0.0056921,           0.0046436,            0.009604,            0.009604,            0.009604
                  10,            0.039254,           0.0062474,           0.0054206,             0.95622,              0.9135,             0.97488,              0.4783,             0.03601,           0.0056713,           0.0031645,           0.0095545,           0.0095545,           0.0095545
                  11,            0.038308,           0.0062448,           0.0049472,             0.96083,             0.90589,              0.9636,             0.50075,            0.033857,           0.0057245,           0.0027891,            0.009505,            0.009505,            0.009505
                  12,            0.037983,           0.0063884,           0.0048192,             0.94994,             0.91493,             0.97166,             0.49663,            0.034334,           0.0057665,           0.0027361,           0.0094555,           0.0094555,           0.0094555
                  13,            0.037272,           0.0061843,           0.0046265,             0.83918,             0.68814,             0.77089,             0.36866,            0.039588,           0.0097643,            0.010096,            0.009406,            0.009406,            0.009406
                  14,            0.036219,           0.0061238,           0.0045647,             0.96589,             0.93224,             0.97562,             0.52521,            0.033279,           0.0054243,            0.002259,           0.0093565,           0.0093565,           0.0093565
                  15,            0.037066,           0.0059134,            0.004003,             0.97305,             0.93477,             0.97763,             0.50777,            0.034781,           0.0055035,           0.0019732,            0.009307,            0.009307,            0.009307
                  16,            0.036252,           0.0061198,           0.0046457,              0.9461,             0.93154,             0.96968,             0.52429,            0.033378,           0.0056458,           0.0028774,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035794,           0.0061002,           0.0045591,             0.97528,             0.95366,             0.97595,             0.52355,            0.032501,           0.0053296,           0.0015567,            0.009208,            0.009208,            0.009208
                  18,            0.036143,           0.0060022,            0.004542,             0.95529,             0.86355,             0.94472,             0.50005,            0.034674,           0.0059979,           0.0045809,           0.0091585,           0.0091585,           0.0091585
                  19,            0.035484,           0.0058356,           0.0036405,             0.97034,             0.95772,             0.98049,             0.54929,            0.032032,           0.0052594,           0.0012213,            0.009109,            0.009109,            0.009109
                  20,             0.03439,           0.0059063,           0.0028219,             0.99428,             0.99006,             0.99463,             0.55591,            0.030896,           0.0050856,           0.0010378,           0.0090595,           0.0090595,           0.0090595
                  21,             0.03418,           0.0053206,           0.0025957,             0.99422,             0.98989,             0.99463,             0.57437,            0.030818,           0.0050441,           0.0010369,             0.00901,             0.00901,             0.00901
                  22,            0.033709,           0.0055467,            0.002842,              0.9912,             0.98333,             0.99291,             0.58141,            0.029841,           0.0050029,           0.0010754,           0.0089605,           0.0089605,           0.0089605
                  23,            0.033799,           0.0056737,           0.0024271,             0.95728,             0.94596,             0.97457,             0.53839,            0.030901,            0.005273,           0.0032805,            0.008911,            0.008911,            0.008911
                  24,            0.033344,           0.0052816,           0.0022817,              0.9659,             0.98504,             0.98779,             0.55321,            0.031532,           0.0050531,           0.0014989,           0.0088615,           0.0088615,           0.0088615
