               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076398,            0.022547,            0.044166,             0.47876,              0.2473,             0.42588,             0.14244,            0.052003,            0.014718,            0.032051,           0.0033086,           0.0033086,            0.070222
                   1,            0.058518,            0.012465,            0.025469,             0.59941,             0.63005,             0.67471,             0.24366,              0.0551,           0.0085436,            0.012778,           0.0065981,           0.0065981,            0.040178
                   2,            0.060376,           0.0082983,            0.015145,             0.47616,              0.7305,             0.66896,             0.19652,             0.05603,           0.0074793,           0.0078884,           0.0098436,           0.0098436,            0.010091
                   3,            0.056038,           0.0074083,             0.01021,             0.80159,             0.87578,              0.8505,             0.31854,             0.04493,           0.0066735,           0.0055635,            0.009802,            0.009802,            0.009802
                   4,             0.04903,           0.0070604,            0.010915,             0.89414,              0.8515,             0.93092,             0.42137,            0.039271,           0.0067753,            0.009308,            0.009802,            0.009802,            0.009802
                   5,            0.045338,           0.0067335,           0.0078815,             0.83213,             0.83787,             0.86926,             0.37617,             0.04138,           0.0067928,           0.0058767,            0.009736,            0.009736,            0.009736
                   6,            0.042492,           0.0064705,           0.0063637,             0.88191,             0.93515,             0.94925,             0.41918,            0.039321,           0.0057848,           0.0036292,             0.00967,             0.00967,             0.00967
                   7,            0.040096,           0.0062178,           0.0066901,             0.91102,             0.88958,             0.91248,             0.40144,            0.038044,           0.0056406,           0.0037222,            0.009604,            0.009604,            0.009604
                   8,            0.039891,           0.0061173,           0.0042572,              0.9446,             0.95455,             0.97318,             0.46371,            0.035136,           0.0053156,           0.0019043,            0.009538,            0.009538,            0.009538
                   9,            0.037892,           0.0057737,           0.0038692,             0.96889,             0.97112,             0.98645,             0.49835,            0.033835,           0.0053074,           0.0023499,            0.009472,            0.009472,            0.009472
                  10,            0.036985,           0.0055017,            0.003727,               0.981,             0.98699,             0.99183,             0.53142,            0.032503,           0.0053256,           0.0018896,            0.009406,            0.009406,            0.009406
                  11,            0.036614,           0.0057886,           0.0033187,             0.98137,             0.98401,             0.98594,             0.49019,            0.034056,           0.0052199,           0.0014892,             0.00934,             0.00934,             0.00934
                  12,            0.035751,           0.0057972,           0.0029916,             0.96657,             0.99077,             0.99239,             0.55222,             0.03192,           0.0050482,           0.0012815,            0.009274,            0.009274,            0.009274
                  13,            0.034991,           0.0056733,            0.003664,             0.89787,             0.97651,             0.94878,             0.47602,             0.03564,           0.0051297,           0.0011766,            0.009208,            0.009208,            0.009208
                  14,            0.035367,           0.0054826,           0.0031618,             0.98019,             0.98515,             0.98276,             0.54674,            0.029943,           0.0049406,           0.0012335,            0.009142,            0.009142,            0.009142
                  15,            0.035163,           0.0053613,           0.0032131,             0.99437,             0.99097,              0.9949,             0.55798,            0.031369,           0.0049974,           0.0012589,            0.009076,            0.009076,            0.009076
                  16,            0.033647,            0.005282,           0.0032337,             0.99235,             0.98892,             0.99346,              0.5812,            0.029501,           0.0048985,           0.0012352,             0.00901,             0.00901,             0.00901
                  17,            0.034034,           0.0054629,           0.0027943,             0.99365,             0.99404,             0.99489,             0.56056,            0.030027,           0.0049266,           0.0012161,            0.008944,            0.008944,            0.008944
                  18,            0.032996,           0.0053297,            0.002817,             0.99437,             0.99574,             0.99492,             0.53006,             0.03093,           0.0048917,           0.0011487,            0.008878,            0.008878,            0.008878
                  19,             0.03257,           0.0054518,           0.0024337,             0.97548,             0.97949,             0.97365,             0.55099,             0.02999,           0.0048559,           0.0011878,            0.008812,            0.008812,            0.008812
                  20,            0.032159,           0.0053062,           0.0020655,             0.98212,             0.98898,             0.99398,             0.57027,            0.029332,           0.0048588,           0.0010558,            0.008746,            0.008746,            0.008746
                  21,            0.032506,           0.0052424,           0.0021889,              0.9819,             0.98513,             0.98635,             0.54625,            0.029696,           0.0048284,          0.00096696,             0.00868,             0.00868,             0.00868
                  22,            0.031727,           0.0052918,            0.002354,             0.98154,              0.9976,             0.99339,             0.56636,            0.029558,           0.0049016,           0.0010165,            0.008614,            0.008614,            0.008614
                  23,            0.031101,           0.0051105,           0.0024209,             0.98311,             0.98934,             0.98732,             0.55326,            0.029667,            0.004916,           0.0011536,            0.008548,            0.008548,            0.008548
                  24,            0.031084,             0.00513,           0.0022016,             0.98994,             0.99694,             0.99364,             0.54338,            0.030098,           0.0049189,           0.0013044,            0.008482,            0.008482,            0.008482
                  25,            0.031236,           0.0052395,           0.0022755,             0.99093,             0.98985,             0.99139,             0.56121,            0.029502,           0.0049006,           0.0015876,            0.008416,            0.008416,            0.008416
                  26,            0.031129,           0.0051798,           0.0023074,             0.99217,             0.99501,             0.99494,             0.58228,            0.028247,           0.0047484,          0.00093233,             0.00835,             0.00835,             0.00835
                  27,            0.030164,           0.0051128,           0.0017559,             0.99626,             0.99239,             0.99462,             0.56558,              0.0296,           0.0048075,          0.00079133,            0.008284,            0.008284,            0.008284
                  28,              0.0311,           0.0050557,           0.0017209,             0.98734,             0.98883,             0.99261,             0.58531,            0.028447,           0.0047358,            0.001009,            0.008218,            0.008218,            0.008218
                  29,             0.03023,            0.005262,            0.002252,             0.99671,             0.99911,               0.995,             0.58574,            0.027817,           0.0047387,          0.00096093,            0.008152,            0.008152,            0.008152
                  30,            0.030159,           0.0050359,            0.001956,             0.98941,             0.99366,             0.99484,             0.56989,             0.02913,           0.0047365,           0.0010033,            0.008086,            0.008086,            0.008086
                  31,            0.030372,           0.0051278,           0.0019737,             0.99693,             0.99792,             0.99466,             0.57402,            0.028844,           0.0048003,          0.00081032,             0.00802,             0.00802,             0.00802
                  32,            0.029599,           0.0049185,           0.0018447,             0.99504,             0.99466,             0.99492,             0.57891,            0.028783,           0.0047634,           0.0010212,            0.007954,            0.007954,            0.007954
                  33,            0.029112,           0.0052059,           0.0016098,             0.98802,             0.99565,              0.9929,             0.59834,            0.027889,           0.0047218,          0.00069607,            0.007888,            0.007888,            0.007888
                  34,             0.03004,           0.0049819,           0.0019248,             0.99212,             0.99433,             0.99418,             0.57524,            0.029148,           0.0046756,          0.00079342,            0.007822,            0.007822,            0.007822
                  35,            0.029308,           0.0049842,           0.0016113,             0.99699,                   1,               0.995,              0.5815,            0.028334,           0.0046983,          0.00077385,            0.007756,            0.007756,            0.007756
                  36,            0.029289,           0.0050986,           0.0016844,             0.99781,             0.99578,               0.995,             0.59414,            0.027408,           0.0047031,          0.00070718,             0.00769,             0.00769,             0.00769
                  37,            0.029537,           0.0048319,           0.0018126,              0.9968,             0.99981,               0.995,             0.59501,            0.028012,           0.0046729,          0.00075933,            0.007624,            0.007624,            0.007624
                  38,            0.028426,           0.0049073,           0.0014964,             0.99356,             0.99574,             0.99018,             0.59638,            0.027738,           0.0046458,          0.00065742,            0.007558,            0.007558,            0.007558
                  39,             0.02852,           0.0050559,           0.0015956,             0.99622,              0.9961,             0.99496,              0.6053,            0.027711,           0.0046313,           0.0006578,            0.007492,            0.007492,            0.007492
                  40,            0.028446,           0.0049294,           0.0014865,             0.99716,             0.99954,               0.995,             0.59162,            0.028219,           0.0046726,          0.00068324,            0.007426,            0.007426,            0.007426
                  41,             0.02882,            0.005107,           0.0013073,             0.99868,             0.99797,               0.995,             0.60433,            0.027444,           0.0046339,          0.00058097,             0.00736,             0.00736,             0.00736
                  42,            0.028184,           0.0045076,           0.0014101,              0.9922,             0.99272,             0.98959,             0.59536,            0.027336,           0.0046348,          0.00060822,            0.007294,            0.007294,            0.007294
                  43,             0.02814,           0.0047133,           0.0010307,             0.99799,              0.9977,               0.995,             0.60003,            0.027972,           0.0046641,          0.00063548,            0.007228,            0.007228,            0.007228
                  44,            0.028036,           0.0048454,           0.0012434,              0.9985,             0.99574,             0.99484,             0.58903,            0.027934,           0.0047032,          0.00064657,            0.007162,            0.007162,            0.007162
