               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11489,            0.026028,            0.048849,          0.00083242,             0.22253,           0.0078569,           0.0022483,            0.097047,            0.020812,            0.043726,              0.0021,              0.0021,              0.0811
                   1,            0.090361,            0.019613,             0.04095,            0.001283,             0.41924,            0.010833,           0.0028313,            0.090867,            0.016294,            0.036853,            0.002881,            0.002881,            0.059881
                   2,            0.073152,            0.016774,            0.036807,            0.093235,               0.156,            0.071176,            0.028343,            0.069743,            0.016775,            0.033383,             0.00221,             0.00221,             0.03721
