               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081948,            0.022543,            0.044747,             0.66474,               0.156,              0.2828,            0.073052,            0.056662,            0.015021,             0.03318,           0.0033086,           0.0033086,            0.070222
                   1,            0.060825,            0.012952,            0.028408,             0.57716,             0.57467,             0.59975,              0.2227,            0.048989,           0.0094729,             0.01874,           0.0065981,           0.0065981,            0.040178
                   2,            0.059049,           0.0093925,            0.016997,             0.48223,             0.63541,             0.53125,             0.17635,            0.057923,           0.0071782,            0.011712,           0.0098436,           0.0098436,            0.010091
                   3,            0.055242,           0.0078752,            0.014048,             0.82699,             0.79119,             0.84628,             0.37346,            0.041997,           0.0070865,           0.0089772,            0.009802,            0.009802,            0.009802
                   4,            0.048443,           0.0072792,             0.01154,             0.79416,             0.74318,             0.87137,             0.41704,            0.039322,           0.0065864,            0.013945,            0.009802,            0.009802,            0.009802
                   5,             0.04495,            0.006701,           0.0079703,             0.94912,             0.94176,             0.96959,             0.44819,            0.037166,           0.0060792,           0.0043942,            0.009736,            0.009736,            0.009736
                   6,            0.042573,           0.0064033,           0.0058795,             0.88666,             0.85014,             0.93298,             0.45511,            0.036339,            0.006221,            0.010401,             0.00967,             0.00967,             0.00967
                   7,            0.039956,           0.0063848,           0.0062273,             0.90887,             0.95388,             0.95355,             0.47879,            0.035068,           0.0056831,           0.0039846,            0.009604,            0.009604,            0.009604
                   8,            0.040553,            0.006242,           0.0051791,             0.87605,               0.893,             0.91364,             0.42713,            0.039788,           0.0056985,           0.0023849,            0.009538,            0.009538,            0.009538
                   9,            0.038713,            0.006081,           0.0052749,             0.94772,             0.95724,             0.97461,             0.51811,            0.032549,           0.0055548,           0.0038499,            0.009472,            0.009472,            0.009472
                  10,            0.038896,           0.0059045,           0.0046753,             0.96631,             0.96284,             0.98222,             0.50898,            0.033395,             0.00541,           0.0023007,            0.009406,            0.009406,            0.009406
                  11,            0.037439,           0.0060839,           0.0038427,              0.9708,             0.96335,             0.98514,             0.52958,            0.032082,           0.0054255,            0.002185,             0.00934,             0.00934,             0.00934
                  12,            0.036151,           0.0059421,           0.0047155,             0.94563,             0.94694,             0.97424,             0.47749,            0.035716,           0.0057398,           0.0042779,            0.009274,            0.009274,            0.009274
                  13,            0.036754,           0.0060766,           0.0038239,             0.96288,             0.94139,             0.97346,              0.5272,            0.032248,           0.0055621,           0.0026691,            0.009208,            0.009208,            0.009208
                  14,            0.036011,           0.0059362,           0.0033716,             0.97503,             0.98894,             0.99364,             0.56901,            0.031427,           0.0051871,           0.0013156,            0.009142,            0.009142,            0.009142
                  15,            0.035668,           0.0057272,           0.0030923,              0.9792,             0.98197,             0.99412,             0.54374,             0.03246,           0.0052682,           0.0014405,            0.009076,            0.009076,            0.009076
                  16,            0.034374,            0.005778,           0.0029362,             0.98789,              0.9947,             0.99483,             0.56987,            0.029997,           0.0050844,           0.0014677,             0.00901,             0.00901,             0.00901
                  17,            0.033909,           0.0055687,           0.0026644,              0.9835,             0.99178,              0.9932,             0.56807,            0.030089,           0.0051689,           0.0015276,            0.008944,            0.008944,            0.008944
                  18,            0.033655,           0.0056694,           0.0030036,             0.98738,             0.99366,              0.9943,              0.5771,             0.03073,            0.005101,           0.0013941,            0.008878,            0.008878,            0.008878
                  19,            0.033823,           0.0055518,           0.0021635,             0.97801,             0.98657,             0.99223,             0.55068,            0.029626,           0.0049662,           0.0013647,            0.008812,            0.008812,            0.008812
                  20,            0.033482,           0.0056768,           0.0024644,             0.98921,             0.99366,             0.98876,             0.54401,            0.029943,           0.0049758,           0.0010458,            0.008746,            0.008746,            0.008746
                  21,            0.032702,           0.0051612,           0.0023107,             0.99812,             0.99682,             0.99492,             0.55963,            0.029578,           0.0048971,           0.0010169,             0.00868,             0.00868,             0.00868
                  22,            0.032728,           0.0053289,           0.0024018,             0.99257,             0.99526,             0.99479,              0.5593,            0.030213,           0.0049524,          0.00097192,            0.008614,            0.008614,            0.008614
                  23,            0.032015,            0.005537,           0.0024291,             0.99276,             0.99218,             0.99472,             0.56753,            0.029192,           0.0050844,           0.0010522,            0.008548,            0.008548,            0.008548
                  24,            0.031865,           0.0050635,           0.0020922,              0.9881,             0.98717,             0.99365,             0.57176,            0.029288,           0.0049253,          0.00083118,            0.008482,            0.008482,            0.008482
                  25,            0.032394,           0.0053785,            0.002305,             0.99139,             0.99249,             0.98922,             0.56083,            0.029781,           0.0048999,          0.00089106,            0.008416,            0.008416,            0.008416
