               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11645,            0.016624,            0.048065,          0.00025323,            0.076701,          0.00023599,          7.8566e-05,             0.10728,            0.015644,            0.042327,              0.0031,              0.0031,              0.0721
                   1,            0.090849,            0.014864,            0.040429,           0.0016911,              0.5217,            0.015386,           0.0028764,            0.080649,            0.013621,            0.034982,            0.004221,            0.004221,            0.041221
                   2,            0.074921,            0.013976,            0.035445,            0.026762,             0.26653,            0.079045,            0.021747,              0.0774,            0.013024,            0.032861,             0.00323,             0.00323,             0.00823
