               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081763,            0.022704,            0.043657,             0.37606,              0.3294,              0.3922,             0.11324,            0.055449,            0.014969,             0.02949,           0.0033086,           0.0033086,            0.070222
                   1,            0.061902,            0.013026,            0.025581,             0.73858,             0.44558,             0.49379,             0.17045,             0.05394,           0.0091634,            0.022063,           0.0065981,           0.0065981,            0.040178
                   2,             0.05963,           0.0095476,            0.016485,             0.69461,             0.66783,             0.76147,              0.2742,            0.051009,           0.0075413,           0.0092826,           0.0098436,           0.0098436,            0.010091
                   3,            0.055112,           0.0078638,            0.012391,             0.87759,             0.77522,             0.87932,             0.36488,            0.044307,           0.0083786,           0.0082096,            0.009802,            0.009802,            0.009802
                   4,             0.04886,           0.0071755,           0.0095905,             0.84761,             0.91053,             0.91461,              0.4337,            0.039485,            0.006674,           0.0042818,            0.009802,            0.009802,            0.009802
                   5,            0.045335,           0.0067714,           0.0073341,             0.84657,             0.89566,             0.93796,             0.43146,            0.037142,           0.0064941,           0.0037543,            0.009736,            0.009736,            0.009736
                   6,            0.042701,           0.0066432,           0.0068675,             0.94298,             0.93489,             0.97779,             0.47609,            0.037464,           0.0057625,            0.002843,             0.00967,             0.00967,             0.00967
                   7,            0.041096,           0.0064919,           0.0063023,             0.94545,             0.94994,             0.97883,             0.49568,            0.034867,            0.005859,            0.002525,            0.009604,            0.009604,            0.009604
                   8,            0.041401,           0.0062731,           0.0052742,             0.92873,             0.89916,             0.94502,             0.40848,            0.040461,           0.0056357,           0.0023762,            0.009538,            0.009538,            0.009538
                   9,            0.039206,           0.0061516,            0.004946,             0.94499,             0.95415,             0.98251,             0.50232,            0.033461,           0.0059354,           0.0029083,            0.009472,            0.009472,            0.009472
                  10,            0.039161,           0.0059587,           0.0047047,             0.98328,              0.9434,             0.98957,             0.48771,             0.03398,           0.0053669,           0.0023721,            0.009406,            0.009406,            0.009406
                  11,            0.037345,           0.0061124,           0.0039326,             0.99132,             0.97443,             0.99189,             0.54953,            0.031576,           0.0052998,             0.00166,             0.00934,             0.00934,             0.00934
                  12,            0.037525,           0.0058987,           0.0029711,             0.98246,              0.9548,             0.97968,             0.49641,            0.034194,           0.0053335,           0.0015879,            0.009274,            0.009274,            0.009274
                  13,            0.036117,           0.0058556,           0.0028065,             0.97461,             0.98098,             0.98714,              0.4961,            0.032058,           0.0051744,           0.0015044,            0.009208,            0.009208,            0.009208
