               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076625,            0.022469,            0.044473,             0.49486,             0.25036,             0.44281,             0.15033,             0.05184,            0.014577,            0.032813,           0.0033086,           0.0033086,            0.070222
                   1,            0.058781,            0.012494,            0.026473,             0.46323,             0.61691,             0.54916,             0.20313,            0.065625,           0.0078865,             0.01408,           0.0065981,           0.0065981,            0.040178
                   2,            0.059742,           0.0085752,            0.017104,             0.47628,             0.66294,             0.57008,             0.15536,            0.059616,           0.0071665,            0.015166,           0.0098436,           0.0098436,            0.010091
                   3,            0.056127,           0.0076609,            0.014061,             0.73364,             0.64256,             0.73119,             0.25955,            0.045735,           0.0074573,            0.019357,            0.009802,            0.009802,            0.009802
                   4,            0.048761,           0.0072942,            0.010762,             0.65529,             0.81289,             0.76951,             0.29017,            0.045259,           0.0065495,           0.0059847,            0.009802,            0.009802,            0.009802
                   5,            0.045134,           0.0068776,           0.0091798,             0.70174,             0.74767,             0.78834,             0.33214,            0.042371,           0.0066714,            0.013724,            0.009736,            0.009736,            0.009736
                   6,            0.043092,            0.006694,           0.0081185,             0.71339,             0.53972,             0.64458,             0.31196,            0.044411,           0.0093442,             0.02993,             0.00967,             0.00967,             0.00967
                   7,            0.041083,           0.0064316,           0.0067187,             0.89966,             0.89956,             0.95439,             0.45605,            0.037605,           0.0062784,           0.0043984,            0.009604,            0.009604,            0.009604
                   8,             0.04138,           0.0064506,            0.006424,             0.88704,              0.8509,             0.90585,              0.4495,             0.03518,           0.0059339,            0.010073,            0.009538,            0.009538,            0.009538
                   9,             0.03892,           0.0062189,           0.0058609,             0.94005,             0.92805,             0.96864,             0.47452,            0.035127,           0.0054564,           0.0032264,            0.009472,            0.009472,            0.009472
                  10,            0.038613,           0.0058779,            0.004534,             0.96317,             0.94382,               0.982,             0.49673,             0.03394,           0.0055794,           0.0025491,            0.009406,            0.009406,            0.009406
                  11,            0.037703,           0.0062134,           0.0049384,             0.93341,             0.88506,             0.95888,             0.46829,            0.034259,           0.0057197,           0.0079164,             0.00934,             0.00934,             0.00934
                  12,            0.036588,           0.0061032,           0.0043698,              0.9698,             0.96041,             0.98625,             0.52952,            0.033061,           0.0053368,           0.0026601,            0.009274,            0.009274,            0.009274
                  13,            0.037159,           0.0058927,           0.0040604,             0.98177,             0.97178,             0.97844,             0.51275,            0.033915,           0.0051938,           0.0015807,            0.009208,            0.009208,            0.009208
                  14,            0.036646,           0.0057175,           0.0039722,             0.92589,             0.93232,             0.96364,             0.50285,            0.031906,           0.0054248,           0.0028092,            0.009142,            0.009142,            0.009142
                  15,            0.036976,           0.0057104,           0.0045457,             0.95697,             0.95421,             0.96634,             0.53027,            0.031814,           0.0052766,           0.0034602,            0.009076,            0.009076,            0.009076
                  16,            0.035263,           0.0055449,           0.0035647,             0.98517,             0.97552,             0.99105,             0.55646,            0.030057,           0.0050222,           0.0014584,             0.00901,             0.00901,             0.00901
