               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11268,            0.025057,            0.047638,          0.00048409,             0.14211,          0.00093883,          0.00026219,             0.10045,            0.018489,             0.04334,              0.0031,              0.0031,              0.0721
                   1,            0.088193,            0.017913,             0.04123,          0.00098432,             0.31915,           0.0078526,           0.0015656,            0.084839,            0.014948,            0.038716,            0.004221,            0.004221,            0.041221
                   2,            0.075336,            0.016019,            0.037029,           0.0030919,             0.79071,             0.14794,            0.057964,            0.060409,            0.015967,            0.033803,             0.00323,             0.00323,             0.00823
