               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082833,            0.023611,            0.046436,             0.14016,             0.56825,             0.19895,            0.056812,              0.0615,            0.015734,            0.040663,           0.0033086,           0.0033086,            0.070222
                   1,             0.06137,            0.014302,            0.038277,             0.30411,             0.47538,              0.3926,              0.1487,            0.047136,            0.011856,            0.028355,           0.0065981,           0.0065981,            0.040178
                   2,            0.062202,            0.010598,            0.026133,             0.39397,              0.5953,             0.50326,             0.13622,            0.060201,           0.0083671,             0.01705,           0.0098436,           0.0098436,            0.010091
                   3,            0.058272,           0.0092661,            0.020116,             0.43356,             0.67493,             0.55002,             0.13803,            0.061042,           0.0070769,            0.010522,            0.009802,            0.009802,            0.009802
                   4,            0.051598,           0.0081176,            0.013333,             0.85637,             0.75398,             0.87498,             0.41176,            0.038751,           0.0075179,           0.0084128,            0.009802,            0.009802,            0.009802
                   5,            0.046496,           0.0071228,            0.011447,             0.80319,             0.77294,             0.86222,             0.33865,            0.044075,           0.0063357,           0.0080096,            0.009736,            0.009736,            0.009736
                   6,            0.045225,           0.0069825,           0.0099184,             0.85228,             0.81958,             0.89304,              0.3403,            0.041891,           0.0079744,           0.0090531,             0.00967,             0.00967,             0.00967
                   7,            0.043971,           0.0071561,           0.0077821,             0.89775,             0.92111,             0.95128,             0.45933,            0.036898,           0.0060533,           0.0038304,            0.009604,            0.009604,            0.009604
                   8,            0.043466,           0.0069373,           0.0063516,             0.88237,             0.90502,             0.94122,             0.42499,            0.037624,           0.0060398,           0.0040756,            0.009538,            0.009538,            0.009538
                   9,            0.040717,           0.0062782,           0.0056359,             0.93947,             0.90734,             0.97159,             0.44588,            0.038801,           0.0060919,           0.0031892,            0.009472,            0.009472,            0.009472
                  10,            0.039952,           0.0065484,           0.0046918,             0.94516,             0.93363,             0.96687,             0.46925,            0.035696,           0.0056805,           0.0028835,            0.009406,            0.009406,            0.009406
                  11,            0.039892,           0.0062344,           0.0054723,             0.96609,             0.92614,             0.98073,             0.51905,            0.033922,           0.0059675,            0.003537,             0.00934,             0.00934,             0.00934
                  12,            0.037845,           0.0062319,            0.004749,             0.94307,             0.94605,             0.95985,             0.43973,            0.037408,           0.0056912,           0.0021207,            0.009274,            0.009274,            0.009274
                  13,            0.038188,           0.0062831,           0.0048187,             0.93454,             0.96572,             0.97564,             0.46562,            0.035246,           0.0057834,           0.0021871,            0.009208,            0.009208,            0.009208
                  14,            0.037764,           0.0059337,           0.0043339,             0.96789,              0.9767,             0.98345,             0.52387,            0.033293,           0.0055709,           0.0014847,            0.009142,            0.009142,            0.009142
                  15,            0.037804,           0.0059985,           0.0043287,             0.96659,              0.9645,              0.9852,              0.5208,            0.033495,           0.0056882,            0.001641,            0.009076,            0.009076,            0.009076
                  16,            0.036845,            0.006355,           0.0039006,             0.97711,             0.97927,             0.98729,             0.54783,            0.032146,           0.0053563,           0.0013242,             0.00901,             0.00901,             0.00901
                  17,            0.037094,           0.0060249,           0.0039165,             0.96837,             0.97667,             0.98907,             0.54827,             0.03204,           0.0053752,           0.0019826,            0.008944,            0.008944,            0.008944
                  18,            0.036862,           0.0057251,           0.0037651,             0.98357,             0.97986,             0.98848,             0.53077,            0.032168,           0.0053733,           0.0014622,            0.008878,            0.008878,            0.008878
                  19,             0.03532,            0.005816,           0.0035398,             0.98425,             0.98975,             0.99013,             0.54586,            0.032221,           0.0052649,           0.0012042,            0.008812,            0.008812,            0.008812
