               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11645,            0.016624,            0.048065,          0.00025323,            0.076701,          0.00023599,          7.8566e-05,             0.10728,            0.015644,            0.042327,              0.0031,              0.0031,              0.0721
                   1,            0.092094,            0.014367,             0.04019,          0.00085941,             0.30157,           0.0085974,           0.0029771,            0.098327,             0.01221,            0.034608,           0.0056763,           0.0056763,            0.042676
                   2,            0.083126,            0.012839,            0.033291,            0.022069,             0.48104,             0.04665,           0.0096987,            0.092462,            0.011045,            0.030292,            0.007619,            0.007619,            0.012619
                   3,            0.077197,            0.012641,            0.028225,             0.43226,            0.039844,            0.076603,            0.014894,            0.072877,            0.012088,            0.024718,             0.00703,             0.00703,             0.00703
                   4,            0.069456,            0.011201,            0.022356,             0.26136,             0.26185,             0.25045,            0.064619,            0.063773,            0.011125,            0.020261,             0.00703,             0.00703,             0.00703
                   5,            0.063562,            0.010508,             0.01846,             0.41955,             0.41626,             0.38906,             0.14124,            0.060975,            0.010331,            0.016467,             0.00604,             0.00604,             0.00604
                   6,            0.060089,           0.0095965,            0.015121,             0.46325,             0.36491,             0.44333,             0.13125,            0.056466,            0.009608,            0.012848,             0.00505,             0.00505,             0.00505
                   7,            0.055694,           0.0097542,            0.014789,             0.57981,             0.52384,             0.61349,             0.23685,            0.051402,           0.0093614,           0.0099719,             0.00406,             0.00406,             0.00406
                   8,            0.049054,           0.0092872,            0.012427,             0.55204,             0.41975,             0.44481,             0.14203,            0.046199,           0.0088021,            0.009384,             0.00307,             0.00307,             0.00307
                   9,            0.046281,           0.0082299,            0.010959,             0.64181,             0.66468,             0.67356,             0.28633,            0.042144,           0.0083296,           0.0086912,             0.00208,             0.00208,             0.00208
