               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11933,            0.017052,            0.048471,          0.00024772,            0.077552,          0.00015403,          3.7456e-05,             0.11515,            0.016031,            0.045473,              0.0021,              0.0021,              0.0811
                   1,            0.099365,            0.015525,            0.040363,           0.0012952,             0.39261,           0.0060733,           0.0025891,             0.08999,            0.014586,            0.037793,            0.002881,            0.002881,            0.059881
                   2,            0.075872,            0.014307,            0.037063,            0.002762,              0.7082,            0.040154,            0.010336,            0.074529,            0.015101,            0.036077,             0.00221,             0.00221,             0.03721
